norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.278904,  98.172, 2458659.7056,   28.481, 0, 2458593.6893,   40.50,   12.018
42928,2, 0.273450, 125.246, 2458570.2544,    6.502, 2, 2458593.6893,   40.50,   12.018
42928,3, 0.269780, 152.692, 2458625.7523,   21.652, 0, 2458593.6893,   40.50,   12.018
42928,4, 0.261017, 134.217, 2458572.8844,    7.819, 2, 2458593.6893,   40.50,   12.018
42928,5, 0.235395, 106.090, 2458621.2597,   26.296, 2, 2458593.6893,   40.50,   12.018
42928,6, 0.210536,  71.987, 2458603.7231,   25.785, 2, 2458593.6893,   40.50,   12.018
42928,7, 0.163093,  80.778, 2458554.0334,    6.440, 0, 2458593.6893,   40.50,   12.018
42928,8, 0.133748,  93.491, 2458541.9016,   -3.997, 0, 2458593.6893,   40.50,   12.018
35497,1, 0.599285,  76.017,       0.0000,    0.000, 0, 2457988.0606,  288.25,  106.409
35497,2, 0.593955,  64.930, 2458177.2997,  205.517, 0, 2457988.0606,  288.25,  106.409
35497,3, 0.578075,  69.674, 2458286.9639,  342.386, 0, 2457988.0606,  288.25,  106.409
35497,4, 0.574179,  84.300, 2458297.6550,  370.658, 2, 2457988.0606,  288.25,  106.409
35497,5, 0.565307, 105.074, 2458086.3812,  275.324, 2, 2457988.0606,  288.25,  106.409
35497,6, 0.548088, 137.693, 2457698.5941,    5.427, 2, 2457988.0606,  288.25,  106.409
35497,7, 0.496337, 187.163, 2457677.4141,  -21.304, 2, 2457988.0606,  288.25,  106.409
35497,8, 0.378011, 237.039, 2457692.1164,   -1.111, 0, 2457988.0606,  288.25,  106.409
37151,1, 0.574550,  80.410,       0.0000,    0.000, 2, 2457434.7740,  203.20,    7.345
37151,2, 0.531216,  80.315,       0.0000,    0.000, 2, 2457434.7740,  203.20,    7.345
37151,3, 0.508647,  80.088, 2457295.5142,  -12.125, 2, 2457434.7740,  203.20,    7.345
37151,4, 0.498778,  69.033,       0.0000,    0.000, 0, 2457434.7740,  203.20,    7.345
37151,5, 0.486412,  63.867, 2457415.2853,   12.530, 0, 2457434.7740,  203.20,    7.345
37151,6, 0.482568,  42.270, 2457321.1608,   -8.810, 2, 2457434.7740,  203.20,    7.345
37151,7, 0.461417,  55.027, 2457789.3410,  112.532, 0, 2457434.7740,  203.20,    7.345
37151,8, 0.318917,  74.232, 2457352.5689,   -4.798, 2, 2457434.7740,  203.20,    7.345
39615,1, 0.547657,  71.890, 2457674.4861,  -56.348, 0, 2458007.1022,  206.86,   -0.735
39615,2, 0.526061,  51.488, 2458362.1433,   61.880, 0, 2458007.1022,  206.86,   -0.735
39615,3, 0.469628,  59.084,       0.0000,    0.000, 0, 2458007.1022,  206.86,   -0.735
39615,4, 0.443058,  61.700, 2457907.1522,  -26.061, 0, 2458007.1022,  206.86,   -0.735
39615,5, 0.330199,  57.495, 2458102.7178,   48.143, 0, 2458007.1022,  206.86,   -0.735
39615,6, 0.313504,  54.016, 2457988.0860,  -13.850, 2, 2458007.1022,  206.86,   -0.735
39615,7, 0.302828,  53.932, 2457990.6809,  -13.133, 0, 2458007.1022,  206.86,   -0.735
39615,8, 0.281798,  53.064, 2458024.4494,    9.433, 0, 2458007.1022,  206.86,   -0.735
27526,1, 0.563687,  48.965,       0.0000,    0.000, 0, 2456152.2062,  209.41,   16.482
27526,2, 0.510668,  42.409,       0.0000,    0.000, 0, 2456152.2062,  209.41,   16.482
27526,3, 0.495117,  78.430, 2456575.9952,  155.776, 0, 2456152.2062,  209.41,   16.482
27526,4, 0.407347,  67.106, 2456051.4668,   -2.829, 0, 2456152.2062,  209.41,   16.482
27526,5, 0.360196,  50.085, 2456055.4795,   -0.746, 2, 2456152.2062,  209.41,   16.482
27526,6, 0.347667,  72.073, 2456052.5314,   -3.134, 2, 2456152.2062,  209.41,   16.482
27526,7, 0.305716,  88.102, 2456122.1583,   68.915, 0, 2456152.2062,  209.41,   16.482
27526,8, 0.125994, 107.600, 2456055.6061,   -7.170, 2, 2456152.2062,  209.41,   16.482
32007,1, 0.286916,  62.732,       0.0000,    0.000, 0, 2455465.1425,  165.59,   11.469
32007,2, 0.252713,  55.423, 2455833.2045,   62.349, 0, 2455465.1425,  165.59,   11.469
32007,3, 0.250860,  72.752, 2455396.8885,    5.718, 0, 2455465.1425,  165.59,   11.469
32007,4, 0.222726,  60.139, 2455433.1475,   13.898, 2, 2455465.1425,  165.59,   11.469
32007,5, 0.181142,  55.858, 2455460.1873,   28.992, 0, 2455465.1425,  165.59,   11.469
32007,6, 0.141256,  49.694, 2455364.3338,    5.354, 0, 2455465.1425,  165.59,   11.469
32007,7, 0.136980,  45.210, 2455388.8034,   18.430, 2, 2455465.1425,  165.59,   11.469
32007,8, 0.108261,  45.107, 2455379.4323,   24.177, 0, 2455465.1425,  165.59,   11.469
37819,1, 0.445809,  61.559, 2456327.0828,  -41.628, 0, 2456493.2772,   69.03,  -10.241
37819,2, 0.341301,  62.178, 2456546.5252,   -0.371, 0, 2456493.2772,   69.03,  -10.241
37819,3, 0.316890,  46.149, 2456501.2555,  -20.837, 2, 2456493.2772,   69.03,  -10.241
37819,4, 0.295534,  50.273, 2456501.2515,  -24.204, 0, 2456493.2772,   69.03,  -10.241
37819,5, 0.276709,  46.111, 2456505.1040,  -25.104, 0, 2456493.2772,   69.03,  -10.241
37819,6, 0.266056,  39.594, 2456509.9034,  -23.665, 2, 2456493.2772,   69.03,  -10.241
37819,7, 0.234445,  48.909, 2456529.5204,  -13.980, 2, 2456493.2772,   69.03,  -10.241
37819,8, 0.223544,  40.611, 2456525.5747,  -18.554, 0, 2456493.2772,   69.03,  -10.241
